,,,,,,,Daily Price Arrival Report-07-11-2025 to 21-08-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,550.00","2,550.00","2,550.00",Rs./Quintal,40.20,Metric Tonnes,15-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,21.40,Metric Tonnes,15-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,100.00","2,400.00","2,250.00",Rs./Quintal,44.60,Metric Tonnes,15-05-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,550.00","2,550.00","2,550.00",Rs./Quintal,18.40,Metric Tonnes,14-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,23.40,Metric Tonnes,14-05-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,350.00","2,275.00",Rs./Quintal,37.20,Metric Tonnes,14-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,450.00","2,600.00","2,525.00",Rs./Quintal,29.40,Metric Tonnes,14-02-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,650.00","2,750.00","2,700.00",Rs./Quintal,28.50,Metric Tonnes,13-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,18.40,Metric Tonnes,13-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,45.00,Metric Tonnes,13-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,450.00","2,700.00","2,575.00",Rs./Quintal,14.80,Metric Tonnes,13-02-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,600.00","2,700.00","2,650.00",Rs./Quintal,14.60,Metric Tonnes,12-12-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,700.00","2,800.00","2,750.00",Rs./Quintal,58.20,Metric Tonnes,12-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,36.40,Metric Tonnes,12-05-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,650.00","2,850.00","2,750.00",Rs./Quintal,14.40,Metric Tonnes,12-01-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,600.00","2,700.00","2,650.00",Rs./Quintal,9.80,Metric Tonnes,11-12-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,600.00","2,800.00","2,700.00",Rs./Quintal,39.00,Metric Tonnes,11-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,100.00","2,400.00","2,250.00",Rs./Quintal,31.20,Metric Tonnes,11-05-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,50.00,Metric Tonnes,11-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,500.00","2,700.00","2,600.00",Rs./Quintal,25.60,Metric Tonnes,11-02-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,000.00","2,400.00","2,200.00",Rs./Quintal,22.80,Metric Tonnes,10-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,350.00","2,275.00",Rs./Quintal,61.40,Metric Tonnes,10-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,600.00","2,700.00","2,650.00",Rs./Quintal,17.20,Metric Tonnes,09-12-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,17.80,Metric Tonnes,09-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,000.00","2,400.00","2,200.00",Rs./Quintal,32.00,Metric Tonnes,09-04-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,600.00","2,800.00","2,700.00",Rs./Quintal,6.80,Metric Tonnes,09-01-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,450.00","2,570.00","2,510.00",Rs./Quintal,40.60,Metric Tonnes,08-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,000.00","2,400.00","2,200.00",Rs./Quintal,32.60,Metric Tonnes,08-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,100.00","2,350.00","2,225.00",Rs./Quintal,39.40,Metric Tonnes,08-04-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,700.00","2,750.00","2,725.00",Rs./Quintal,45.40,Metric Tonnes,07-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,550.00","2,550.00","2,550.00",Rs./Quintal,21.20,Metric Tonnes,07-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,100.00","2,300.00","2,200.00",Rs./Quintal,37.20,Metric Tonnes,07-04-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,500.00","2,800.00","2,650.00",Rs./Quintal,10.00,Metric Tonnes,07-02-2026
