,,,,,,,Daily Price Arrival Report-07-11-2025 to 21-08-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,200.00","3,500.00","2,850.00",Rs./Quintal,8.60,Metric Tonnes,15-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","3,500.00","2,800.00",Rs./Quintal,6.60,Metric Tonnes,15-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","3,500.00","2,800.00",Rs./Quintal,16.60,Metric Tonnes,15-05-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,200.00","2,600.00",Rs./Quintal,1.60,Metric Tonnes,14-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,400.00","3,100.00","2,750.00",Rs./Quintal,9.20,Metric Tonnes,14-05-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,300.00","2,650.00",Rs./Quintal,33.20,Metric Tonnes,14-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,19.00,Metric Tonnes,14-02-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,200.00","2,600.00",Rs./Quintal,8.20,Metric Tonnes,13-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,500.00","2,750.00",Rs./Quintal,11.60,Metric Tonnes,13-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"1,800.00","3,500.00","2,650.00",Rs./Quintal,16.60,Metric Tonnes,13-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,500.00","2,750.00",Rs./Quintal,11.40,Metric Tonnes,13-02-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,500.00","2,750.00",Rs./Quintal,21.60,Metric Tonnes,12-12-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,200.00","3,800.00","3,000.00",Rs./Quintal,36.40,Metric Tonnes,12-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,200.00","3,500.00","2,850.00",Rs./Quintal,23.60,Metric Tonnes,12-05-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,11.00,Metric Tonnes,12-01-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,600.00","2,800.00",Rs./Quintal,24.60,Metric Tonnes,11-12-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"3,000.00","3,550.00","3,275.00",Rs./Quintal,9.40,Metric Tonnes,11-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","3,500.00","2,800.00",Rs./Quintal,3.80,Metric Tonnes,11-05-2026
